PRISM Time Series Data
Location:  Lat: 44.1734   Lon: -122.1968   Elev: 492m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2014-01 - 2024-06
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Dec-05
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2023-02,134.90,-1.5,2.5,6.5,-0.2,0.25,3.46
2023-03,231.92,-0.7,3.1,7.0,0.7,0.20,3.72
2023-04,248.94,2.3,7.1,11.8,4.1,0.13,7.03
2023-05,37.85,8.2,15.6,22.9,8.7,0.86,18.22
2023-06,20.60,9.1,17.4,25.7,8.9,1.16,22.93
2023-07,0.00,11.8,21.4,30.9,9.9,2.02,33.46
2023-08,5.28,13.7,21.8,29.8,11.6,2.85,29.95
2023-09,69.06,9.4,16.4,23.4,9.3,0.98,19.40
2023-10,150.86,6.1,12.0,17.8,7.8,0.46,11.02
2023-11,203.19,2.7,6.7,10.8,4.2,0.28,4.16
2023-12,389.23,2.5,5.4,8.4,4.2,0.20,1.49
2024-01,473.98,2.0,4.1,6.2,2.7,0.30,1.65
2024-02,198.80,1.4,5.1,8.8,2.8,0.22,3.92
2024-03,204.24,1.3,6.3,11.3,2.2,0.30,7.39
2024-04,135.76,3.5,8.9,14.4,4.4,0.38,8.75
2024-05,130.64,4.9,11.9,18.9,5.7,0.58,14.83
2024-06,56.72,9.2,16.7,24.2,9.2,0.97,20.55
