"","year","tree_id","wood_type","ring_width"
"123",1956,"652_","earlywood",0.6355
"124",1956,"652_","latewood",0.794
"125",1957,"309_","earlywood",0.3705
"126",1957,"309_","latewood",0.3175
"127",1957,"310_","earlywood",0.688
"128",1957,"310_","latewood",0.582
"129",1957,"311_","earlywood",0.127
"130",1957,"311_","latewood",0.053
"131",1957,"646_","earlywood",0.9525
"132",1957,"646_","latewood",0.942
"133",1957,"648_","earlywood",0.339
"134",1957,"648_","latewood",0.403
"135",1957,"648_B2E",NA,0.254
"136",1957,"648_B2L",NA,0.296
"137",1957,"652_","earlywood",0.688
"138",1957,"652_","latewood",0.7305
"139",1958,"309_","earlywood",0.6245
"140",1958,"309_","latewood",0.2025
"141",1958,"310_","earlywood",0.9315
"142",1958,"310_","latewood",0.6885
"143",1958,"311_","earlywood",0.1275
"144",1958,"311_","latewood",0.0525
"145",1958,"646_","earlywood",1.0055
"146",1958,"646_","latewood",0.6985
"147",1958,"648_","earlywood",0.508
"148",1958,"648_","latewood",0.318
"149",1958,"648_B2E",NA,0.445
"150",1958,"648_B2L",NA,0.275
"151",1958,"652_","earlywood",0.741
"152",1958,"652_","latewood",0.7305
"153",1959,"309_","earlywood",0.5715
"154",1959,"309_","latewood",0.212
"155",1959,"310_","earlywood",0.762
"156",1959,"310_","latewood",0.6035
"157",1959,"311_","earlywood",0.096
"158",1959,"311_","latewood",0.0955
"159",1959,"646_","earlywood",0.868
"160",1959,"646_","latewood",0.6135
"161",1959,"648_","earlywood",0.424
"162",1959,"648_","latewood",0.275
"163",1959,"648_B2E",NA,0.339
"164",1959,"648_B2L",NA,0.36
"165",1959,"652_","earlywood",0.9315
"166",1959,"652_","latewood",0.889
"167",1960,"309_","earlywood",0.466
"168",1960,"309_","latewood",0.519
"169",1960,"310_","earlywood",0.8785
"170",1960,"310_","latewood",0.8465
"171",1960,"311_","earlywood",0.1065
"172",1960,"311_","latewood",0.095
"173",1960,"646_","earlywood",0.921
"174",1960,"646_","latewood",1.069
"175",1960,"648_","earlywood",0.402
"176",1960,"648_","latewood",0.381
"177",1960,"648_B2E",NA,0.212
"178",1960,"648_B2L",NA,0.572
"179",1960,"652_","earlywood",1.0485
"180",1960,"652_","latewood",0.984
"181",1961,"309_","earlywood",0.5295
"182",1961,"309_","latewood",0.381
"183",1961,"310_","earlywood",1.0055
"184",1961,"310_","latewood",0.7305
"185",1961,"311_","earlywood",0.0955
"186",1961,"311_","latewood",0.0635
"187",1961,"646_","earlywood",0.783
"188",1961,"646_","latewood",0.275
"189",1961,"648_","earlywood",0.572
"190",1961,"648_","latewood",0.275
"191",1961,"648_B2E",NA,0.381
"192",1961,"648_B2L",NA,0.466
"193",1961,"652_","earlywood",1.164
"194",1961,"652_","latewood",0.963
"195",1962,"309_","earlywood",0.4235
"196",1962,"309_","latewood",0.5295
"197",1962,"310_","earlywood",0.762
"198",1962,"310_","latewood",0.8785
"199",1962,"311_","earlywood",0.063
"200",1962,"311_","latewood",0.0645
"201",1962,"646_","earlywood",0.519
"202",1962,"646_","latewood",0.381
"203",1962,"648_","earlywood",0.466
"204",1962,"648_","latewood",0.466
"205",1962,"648_B2E",NA,0.317
"206",1962,"648_B2L",NA,0.572
"207",1962,"652_","earlywood",1.1645
"208",1962,"652_","latewood",1.2595
"209",1963,"309_","earlywood",0.498
"210",1963,"309_","latewood",0.7945
"211",1963,"310_","earlywood",0.9315
"212",1963,"310_","latewood",0.868
"213",1963,"311_","earlywood",0.127
"214",1963,"311_","latewood",0.0635
"215",1963,"646_","earlywood",0.699
"216",1963,"646_","latewood",1.0055
"217",1963,"648_","earlywood",0.656
"218",1963,"648_","latewood",0.571
"219",1963,"648_B2E",NA,0.805
"220",1963,"648_B2L",NA,0.614
"221",1963,"652_","earlywood",1.1535
"222",1963,"652_","latewood",1.715
"223",1964,"309_","earlywood",0.731
"224",1964,"309_","latewood",0.561
"225",1964,"310_","earlywood",0.889
"226",1964,"310_","latewood",0.6985
"227",1964,"311_","earlywood",0.106
"228",1964,"311_","latewood",0.064
"229",1964,"646_","earlywood",1.0475
"230",1964,"646_","latewood",0.942
"231",1964,"648_","earlywood",1.312
"232",1964,"648_","latewood",0.508
"233",1964,"648_B2E",NA,1.101
"234",1964,"648_B2L",NA,0.487
"235",1964,"652_","earlywood",1.038
"236",1964,"652_","latewood",1.757
"237",1965,"309_","earlywood",0.879
"238",1965,"309_","latewood",1.0695
"239",1965,"310_","earlywood",0.6775
"240",1965,"310_","latewood",0.6245
"241",1965,"311_","earlywood",0.1675
"242",1965,"311_","latewood",0.066
"243",1965,"646_","earlywood",2.889
"244",1965,"646_","latewood",0.921
"245",1965,"648_","earlywood",0.995
"246",1965,"648_","latewood",0.55
"247",1965,"648_B2E",NA,0.974
"248",1965,"648_B2L",NA,0.508
"249",1965,"652_","earlywood",0.974
"250",1965,"652_","latewood",0.7935
"251",1966,"309_","earlywood",0.7625
"252",1966,"309_","latewood",0.6355
"253",1966,"310_","earlywood",0.4975
"254",1966,"310_","latewood",0.3705
"255",1966,"311_","earlywood",0.148
"256",1966,"311_","latewood",0.053
"257",1966,"646_","earlywood",1.27
"258",1966,"646_","latewood",1.376
"259",1966,"648_","earlywood",0.487
"260",1966,"648_","latewood",0.508
"261",1966,"648_B2E",NA,0.487
"262",1966,"648_B2L",NA,0.505
"263",1966,"652_","earlywood",0.7725
"264",1966,"652_","latewood",0.466
"265",1967,"309_","earlywood",0.9315
"266",1967,"309_","latewood",0.508
"267",1967,"310_","earlywood",0.5505
"268",1967,"310_","latewood",0.508
"269",1967,"311_","earlywood",0.2435
"270",1967,"311_","latewood",0.0425
"271",1967,"646_","earlywood",1.8735
"272",1967,"646_","latewood",0.963
"273",1967,"648_","earlywood",0.805
"274",1967,"648_","latewood",0.487
"275",1967,"648_B2E",NA,0.868
"276",1967,"648_B2L",NA,0.317
"277",1967,"652_","earlywood",0.932
"278",1967,"652_","latewood",0.349
"279",1968,"309_","earlywood",0.5825
"280",1968,"309_","latewood",0.307
"281",1968,"310_","earlywood",0.4445
"282",1968,"310_","latewood",0.529
"283",1968,"311_","earlywood",0.1585
"284",1968,"311_","latewood",0.0315
"285",1968,"646_","earlywood",1.185
"286",1968,"646_","latewood",0.8365
"287",1968,"648_","earlywood",0.487
"288",1968,"648_","latewood",0.402
"289",1968,"648_B2E",NA,0.445
"290",1968,"648_B2L",NA,0.317
"291",1968,"652_","earlywood",1.048
"292",1968,"652_","latewood",0.561
"293",1968,"655_","earlywood",2.455
"294",1968,"655_","latewood",1.037
"295",1969,"309_","earlywood",0.731
"296",1969,"309_","latewood",0.4765
"297",1969,"310_","earlywood",0.5395
"298",1969,"310_","latewood",0.4975
"299",1969,"311_","earlywood",0.159
"300",1969,"311_","latewood",0.0845
"301",1969,"646_","earlywood",0.9205
"302",1969,"646_","latewood",1.905
"303",1969,"648_","earlywood",0.783
"304",1969,"648_","latewood",0.635
"305",1969,"648_B2E",NA,0.783
"306",1969,"648_B2L",NA,0.487
"307",1969,"652_","earlywood",1.037
"308",1969,"652_","latewood",1.2595
"309",1969,"655_","earlywood",2.688
"310",1969,"655_","latewood",1.058
"311",1970,"309_","earlywood",0.71
"312",1970,"309_","latewood",0.4555
"313",1970,"310_","earlywood",0.582
"314",1970,"310_","latewood",0.381
"315",1970,"311_","earlywood",0.223
"316",1970,"311_","latewood",0.0955
"317",1970,"646_","earlywood",1.291
"318",1970,"646_","latewood",1.0585
"319",1970,"648_","earlywood",0.805
"320",1970,"648_","latewood",0.487
"321",1970,"648_B2E",NA,0.635
"322",1970,"648_B2L",NA,0.529
"323",1970,"652_","earlywood",0.847
"324",1970,"652_","latewood",1.7145
"325",1970,"655_","earlywood",4.276
"326",1970,"655_","latewood",1.376
"327",1971,"309_","earlywood",0.7725
"328",1971,"309_","latewood",0.5825
"329",1971,"310_","earlywood",0.5505
"330",1971,"310_","latewood",0.4655
"331",1971,"311_","earlywood",0.2965
"332",1971,"311_","latewood",0.1165
"333",1971,"646_","earlywood",1.9365
"334",1971,"646_","latewood",0.7195
"335",1971,"648_","earlywood",1.207
"336",1971,"648_","latewood",0.529
"337",1971,"648_B2E",NA,0.804
"338",1971,"648_B2L",NA,0.487
"339",1971,"652_","earlywood",0.995
"340",1971,"652_","latewood",1.6935
"341",1971,"654_","earlywood",8.139
"342",1971,"654_","latewood",1.908
"343",1971,"655_","earlywood",4.361
"344",1971,"655_","latewood",1.7885
"345",1972,"309_","earlywood",0.9325
"346",1972,"309_","latewood",0.889
"347",1972,"310_","earlywood",0.6665
"348",1972,"310_","latewood",0.635
"349",1972,"311_","earlywood",0.2335
"350",1972,"311_","latewood",0.127
"351",1972,"646_","earlywood",1.0055
"352",1972,"646_","latewood",0.889
"353",1972,"648_","earlywood",0.931
"354",1972,"648_","latewood",1.037
"355",1972,"648_B2E",NA,0.995
"356",1972,"648_B2L",NA,0.508
"357",1972,"652_","earlywood",0.953
"358",1972,"652_","latewood",1.122
"359",1972,"654_","earlywood",5.066
"360",1972,"654_","latewood",1.441
"361",1972,"655_","earlywood",3.546
"362",1972,"655_","latewood",1.907
"363",1973,"309_","earlywood",0.805
"364",1973,"309_","latewood",0.593
"365",1973,"310_","earlywood",0.6245
"366",1973,"310_","latewood",0.4445
"367",1973,"311_","earlywood",0.2225
"368",1973,"311_","latewood",0.106
"369",1973,"646_","earlywood",1.037
"370",1973,"646_","latewood",0.7305
"371",1973,"648_","earlywood",0.931
"372",1973,"648_","latewood",0.656
"373",1973,"648_B2E",NA,0.805
"374",1973,"648_B2L",NA,0.656
"375",1973,"652_","earlywood",0.889
"376",1973,"652_","latewood",0.5085
"377",1973,"654_","earlywood",5.66
"378",1973,"654_","latewood",1.759
"379",1973,"655_","earlywood",2.9105
"380",1973,"655_","latewood",2.6565
"381",1974,"309_","earlywood",0.858
"382",1974,"309_","latewood",0.4445
"383",1974,"310_","earlywood",0.5715
"384",1974,"310_","latewood",0.4125
"385",1974,"311_","earlywood",0.2645
"386",1974,"311_","latewood",0.233
"387",1974,"646_","earlywood",1.2385
"388",1974,"646_","latewood",0.6775
"389",1974,"648_","earlywood",0.635
"390",1974,"648_","latewood",0.423
"391",1974,"648_B2E",NA,0.593
"392",1974,"648_B2L",NA,0.55
"393",1974,"652_","earlywood",0.9735
"394",1974,"652_","latewood",0.328
"395",1974,"654_","earlywood",8.4335
"396",1974,"654_","latewood",2.399
"397",1974,"655_","earlywood",2.932
"398",1974,"655_","latewood",2.127
"399",1975,"309_","earlywood",1.0385
"400",1975,"309_","latewood",0.8675
"401",1975,"310_","earlywood",0.762
"402",1975,"310_","latewood",0.8255
"403",1975,"311_","earlywood",0.3065
"404",1975,"311_","latewood",0.2225
"405",1975,"646_","earlywood",1.6405
"406",1975,"646_","latewood",1.471
"407",1975,"648_","earlywood",0.783
"408",1975,"648_","latewood",0.593
"409",1975,"648_B2E",NA,0.656
"410",1975,"648_B2L",NA,0.635
"411",1975,"652_","earlywood",0.889
"412",1975,"652_","latewood",0.4025
"413",1975,"654_","earlywood",7.5285
"414",1975,"654_","latewood",1.3885
"415",1975,"655_","earlywood",3.26
"416",1975,"655_","latewood",1.7145
"417",1975,"860_","earlywood",2.669
"418",1975,"860_","latewood",2.603
"419",1976,"309_","earlywood",0.8475
"420",1976,"309_","latewood",0.635
"421",1976,"310_","earlywood",0.8355
"422",1976,"310_","latewood",0.953
"423",1976,"311_","earlywood",0.339
"424",1976,"311_","latewood",0.5505
"425",1976,"646_","earlywood",1.3655
"426",1976,"646_","latewood",1.3445
"427",1976,"648_","earlywood",0.572
"428",1976,"648_","latewood",0.444
"429",1976,"648_B2E",NA,0.381
"430",1976,"648_B2L",NA,0.021
"431",1976,"652_","earlywood",0.7305
"432",1976,"652_","latewood",1.0265
"433",1976,"654_","earlywood",6.316
"434",1976,"654_","latewood",1.512
"435",1976,"655_","earlywood",3.0165
"436",1976,"655_","latewood",1.4075
"437",1976,"860_","earlywood",2.754
"438",1976,"860_","latewood",0.931
"439",1977,"309_","earlywood",0.6675
"440",1977,"309_","latewood",0.455
"441",1977,"310_","earlywood",0.688
"442",1977,"310_","latewood",0.6665
"443",1977,"311_","earlywood",0.4125
"444",1977,"311_","latewood",0.265
"445",1977,"646_","earlywood",1.344
"446",1977,"646_","latewood",0.7195
"447",1977,"648_","earlywood",0.826
"448",1977,"648_","latewood",0.508
"449",1977,"648_B2E",NA,0.677
"450",1977,"648_B2L",NA,0.551
"451",1977,"652_","earlywood",0.773
"452",1977,"652_","latewood",0.921
"453",1977,"654_","earlywood",4.4435
"454",1977,"654_","latewood",1.2835
"455",1977,"655_","earlywood",2.5405
"456",1977,"655_","latewood",1.4395
"457",1977,"860_","earlywood",1.567
"458",1977,"860_","latewood",1.016
"459",1978,"309_","earlywood",0.5505
"460",1978,"309_","latewood",0.7725
"461",1978,"310_","earlywood",0.762
"462",1978,"310_","latewood",0.9525
"463",1978,"311_","earlywood",0.318
"464",1978,"311_","latewood",0.201
"465",1978,"646_","earlywood",0.9
"466",1978,"646_","latewood",0.8575
"467",1978,"648_","earlywood",1.249
"468",1978,"648_","latewood",0.55
"469",1978,"648_B2E",NA,1.122
"470",1978,"648_B2L",NA,0.551
"471",1978,"652_","earlywood",1.122
"472",1978,"652_","latewood",1.186
"473",1978,"654_","earlywood",3.27
"474",1978,"654_","latewood",2.161
"475",1978,"655_","earlywood",1.397
"476",1978,"655_","latewood",1.5875
"477",1978,"656_","earlywood",9.443
"478",1978,"656_","latewood",5.08
"479",1978,"860_","earlywood",1.312
"480",1978,"860_","latewood",1.333
"481",1979,"309_","earlywood",0.5085
"482",1979,"309_","latewood",0.498
"483",1979,"310_","earlywood",0.752
"484",1979,"310_","latewood",0.4025
"485",1979,"311_","earlywood",0.2645
"486",1979,"311_","latewood",0.2225
"487",1979,"646_","earlywood",0.73
"488",1979,"646_","latewood",0.6245
"489",1979,"648_","earlywood",1.016
"490",1979,"648_","latewood",0.571
"491",1979,"648_B2E",NA,0.783
"492",1979,"648_B2L",NA,0.571
"493",1979,"652_","earlywood",1.207
"494",1979,"652_","latewood",0.794
"495",1979,"654_","earlywood",2.899
"496",1979,"654_","latewood",1.8005
"497",1979,"655_","earlywood",1.619
"498",1979,"655_","latewood",0.9105
"499",1979,"656_","earlywood",5.6095
"500",1979,"656_","latewood",2.837
"501",1979,"860_","earlywood",1.674
"502",1979,"860_","latewood",2.371
"503",1980,"309_","earlywood",0.805
"504",1980,"309_","latewood",0.593
"505",1980,"310_","earlywood",0.762
"506",1980,"310_","latewood",0.54
"507",1980,"311_","earlywood",0.4445
"508",1980,"311_","latewood",0.4025
"509",1980,"646_","earlywood",1.312
"510",1980,"646_","latewood",0.6565
"511",1980,"648_","earlywood",1.185
"512",1980,"648_","latewood",0.55
"513",1980,"648_B2E",NA,1.016
"514",1980,"648_B2L",NA,0.699
"515",1980,"652_","earlywood",1.291
"516",1980,"652_","latewood",0.9525
"517",1980,"654_","earlywood",5.207
"518",1980,"654_","latewood",1.6515
"519",1980,"655_","earlywood",1.715
"520",1980,"655_","latewood",0.899
"521",1980,"656_","earlywood",6.965
"522",1980,"656_","latewood",2.593
"523",1980,"860_","earlywood",2.286
"524",1980,"860_","latewood",2.564
"525",1981,"309_","earlywood",0.975
"526",1981,"309_","latewood",0.8365
"527",1981,"310_","earlywood",0.974
"528",1981,"310_","latewood",0.963
"529",1981,"311_","earlywood",0.4765
"530",1981,"311_","latewood",0.3385
"531",1981,"646_","earlywood",1.9895
"532",1981,"646_","latewood",1.0055
"533",1981,"648_","earlywood",1.461
"534",1981,"648_","latewood",0.296
"535",1981,"648_B2E",NA,1.418
"536",1981,"648_B2L",NA,0.487
"537",1981,"652_","earlywood",1.355
"538",1981,"652_","latewood",1.037
"539",1981,"654_","earlywood",3.7575
"540",1981,"654_","latewood",1.7675
"541",1981,"655_","earlywood",1.3865
"542",1981,"655_","latewood",1.2595
"543",1981,"656_","earlywood",6.024
"544",1981,"656_","latewood",3.071
"545",1981,"860_","earlywood",3.324
"546",1981,"860_","latewood",2.1695
"547",1982,"309_","earlywood",0.9005
"548",1982,"309_","latewood",0.709
"549",1982,"310_","earlywood",0.8465
"550",1982,"310_","latewood",0.995
"551",1982,"311_","earlywood",0.4445
"552",1982,"311_","latewood",0.3285
"553",1982,"646_","earlywood",1.1535
"554",1982,"646_","latewood",0.7195
"555",1982,"648_","earlywood",0.72
"556",1982,"648_","latewood",0.423
"557",1982,"648_B2E",NA,0.699
"558",1982,"648_B2L",NA,0.508
"559",1982,"652_","earlywood",1.1435
"560",1982,"652_","latewood",0.8145
"561",1982,"654_","earlywood",3.8105
"562",1982,"654_","latewood",2.4555
"563",1982,"655_","earlywood",1.4815
"564",1982,"655_","latewood",1.99
"565",1982,"656_","earlywood",6.4695
"566",1982,"656_","latewood",2.922
"567",1982,"860_","earlywood",2.739
"568",1982,"860_","latewood",1.9205
"569",1983,"309_","earlywood",1.0165
"570",1983,"309_","latewood",1.292
"571",1983,"310_","earlywood",0.847
"572",1983,"310_","latewood",1.397
"573",1983,"311_","earlywood",0.4125
"574",1983,"311_","latewood",0.3285
"575",1983,"646_","earlywood",1.0795
"576",1983,"646_","latewood",1.958
"577",1983,"648_","earlywood",0.762
"578",1983,"648_","latewood",0.508
"579",1983,"648_B2E",NA,0.826
"580",1983,"648_B2L",NA,0.423
"581",1983,"652_","earlywood",1.0055
"582",1983,"652_","latewood",0.5505
"583",1983,"654_","earlywood",2.678
"584",1983,"654_","latewood",2.7415
"585",1983,"655_","earlywood",1.736
"586",1983,"655_","latewood",2.011
"587",1983,"656_","earlywood",4.0135
"588",1983,"656_","latewood",2.986
"589",1983,"860_","earlywood",2.0585
"590",1983,"860_","latewood",2.505
"591",1984,"309_","earlywood",1.059
"592",1984,"309_","latewood",0.7515
"593",1984,"310_","earlywood",0.8995
"594",1984,"310_","latewood",0.9415
"595",1984,"311_","earlywood",0.444
"596",1984,"311_","latewood",0.4445
"597",1984,"646_","earlywood",1.2275
"598",1984,"646_","latewood",0.794
"599",1984,"648_","earlywood",0.635
"600",1984,"648_","latewood",0.275
"601",1984,"648_B2E",NA,0.826
"602",1984,"648_B2L",NA,0.233
"603",1984,"652_","earlywood",1.1325
"604",1984,"652_","latewood",1.048
"605",1984,"654_","earlywood",2.9955
"606",1984,"654_","latewood",1.8945
"607",1984,"655_","earlywood",1.7145
"608",1984,"655_","latewood",1.228
"609",1984,"656_","earlywood",4.15
"610",1984,"656_","latewood",2.1605
"611",1984,"860_","earlywood",2.207
"612",1984,"860_","latewood",1.4855
"613",1985,"309_","earlywood",0.964
"614",1985,"309_","latewood",0.466
"615",1985,"310_","earlywood",0.741
"616",1985,"310_","latewood",0.4445
"617",1985,"311_","earlywood",0.5925
"618",1985,"311_","latewood",0.339
"619",1985,"646_","earlywood",0.9735
"620",1985,"646_","latewood",0.751
"621",1985,"648_","earlywood",0.487
"622",1985,"648_","latewood",0.275
"623",1985,"648_B2E",NA,0.614
"624",1985,"648_B2L",NA,0.254
"625",1985,"652_","earlywood",1.2175
"626",1985,"652_","latewood",0.752
"627",1985,"654_","earlywood",2.4025
"628",1985,"654_","latewood",1.45
"629",1985,"655_","earlywood",1.397
"630",1985,"655_","latewood",1.0795
"631",1985,"656_","earlywood",3.6525
"632",1985,"656_","latewood",1.472
"633",1985,"860_","earlywood",2.058
"634",1985,"860_","latewood",1.475
"635",1986,"309_","earlywood",0.9315
"636",1986,"309_","latewood",0.751
"637",1986,"310_","earlywood",0.582
"638",1986,"310_","latewood",0.54
"639",1986,"311_","earlywood",0.4975
"640",1986,"311_","latewood",0.466
"641",1986,"646_","earlywood",0.8255
"642",1986,"646_","latewood",0.6035
"643",1986,"648_","earlywood",0.741
"644",1986,"648_","latewood",0.487
"645",1986,"648_B2E",NA,0.72
"646",1986,"648_B2L",NA,0.423
"647",1986,"652_","earlywood",1.2385
"648",1986,"652_","latewood",0.889
"649",1986,"654_","earlywood",2.2655
"650",1986,"654_","latewood",1.5345
"651",1986,"655_","earlywood",1.164
"652",1986,"655_","latewood",1.238
"653",1986,"656_","earlywood",2.0545
"654",1986,"656_","latewood",1.44
"655",1986,"860_","earlywood",1.039
"656",1986,"860_","latewood",1.4745
"657",1987,"309_","earlywood",0.6775
"658",1987,"309_","latewood",0.7305
"659",1987,"310_","earlywood",0.7515
"660",1987,"310_","latewood",0.466
"661",1987,"311_","earlywood",0.5715
"662",1987,"311_","latewood",0.5825
"663",1987,"646_","earlywood",0.731
"664",1987,"646_","latewood",0.317
"665",1987,"648_","earlywood",0.572
"666",1987,"648_","latewood",0.381
"667",1987,"648_B2E",NA,0.487
"668",1987,"648_B2L",NA,0.317
"669",1987,"652_","earlywood",1.1755
"670",1987,"652_","latewood",0.995
"671",1987,"654_","earlywood",1.704
"672",1987,"654_","latewood",1.916
"673",1987,"655_","earlywood",1.1115
"674",1987,"655_","latewood",1.408
"675",1987,"656_","earlywood",2.245
"676",1987,"656_","latewood",2.329
"677",1987,"860_","earlywood",0.9105
"678",1987,"860_","latewood",1.5815
"679",1988,"309_","earlywood",0.8785
"680",1988,"309_","latewood",0.5295
"681",1988,"310_","earlywood",0.6245
"682",1988,"310_","latewood",0.497
"683",1988,"311_","earlywood",0.6775
"684",1988,"311_","latewood",0.4865
"685",1988,"646_","earlywood",1.036
"686",1988,"646_","latewood",0.709
"687",1988,"648_","earlywood",0.699
"688",1988,"648_","latewood",0.381
"689",1988,"648_B2E",NA,0.635
"690",1988,"648_B2L",NA,0.36
"691",1988,"652_","earlywood",1.0055
"692",1988,"652_","latewood",0.5085
"693",1988,"654_","earlywood",2.117
"694",1988,"654_","latewood",1.7465
"695",1988,"655_","earlywood",0.942
"696",1988,"655_","latewood",1.3125
"697",1988,"656_","earlywood",3.399
"698",1988,"656_","latewood",2.033
"699",1988,"860_","earlywood",2.428
"700",1988,"860_","latewood",2.6175
"701",1989,"309_","earlywood",0.826
"702",1989,"309_","latewood",0.889
"703",1989,"310_","earlywood",0.413
"704",1989,"310_","latewood",0.3815
"705",1989,"311_","earlywood",0.7305
"706",1989,"311_","latewood",1.281
"707",1989,"646_","earlywood",1.175
"708",1989,"646_","latewood",1.238
"709",1989,"648_","earlywood",0.805
"710",1989,"648_","latewood",0.444
"711",1989,"648_B2E",NA,0.55
"712",1989,"648_B2L",NA,0.656
"713",1989,"652_","earlywood",0.815
"714",1989,"652_","latewood",0.3175
"715",1989,"654_","earlywood",1.9475
"716",1989,"654_","latewood",2.371
"717",1989,"655_","earlywood",1.3545
"718",1989,"655_","latewood",1.5665
"719",1989,"656_","earlywood",2.181
"720",1989,"656_","latewood",2.276
"721",1989,"860_","earlywood",1.5565
"722",1989,"860_","latewood",1.8325
"723",1990,"309_","earlywood",0.8795
"724",1990,"309_","latewood",0.8465
"725",1990,"310_","earlywood",0.741
"726",1990,"310_","latewood",1.1325
"727",1990,"311_","earlywood",1.048
"728",1990,"311_","latewood",0.995
"729",1990,"646_","earlywood",2.35
"730",1990,"646_","latewood",0.921
"731",1990,"648_","earlywood",0.868
"732",1990,"648_","latewood",0.423
"733",1990,"648_B2E",NA,0.783
